No;Nama;Bandwith;AP;gmap;lat;lon
3;Diskominfo - Public Hotspot 1 - Taman Pamedan A. Yani;50;1;https://goo.gl/maps/8bxZScdpM1mYsKQt7;0.9078532;104.4629757
4;Diskominfo - Public Hotspot 2 - Taman Tugu Pensil;50;1;https://goo.gl/maps/hfahKUqLA2RHMEgA7;0.9208244;104.4385256
5;Diskominfo - Public Hotspot 3 - Taman Anjung Cahaya;50;1;https://goo.gl/maps/xwiRKH3aHszCw7LY8;0.9238056;104.4385
6;Diskominfo - Public Hotspot 4 - Taman Bestari;50;1;https://goo.gl/maps/ML5Uzp9D26xf6KwH8;0.9249444;104.4394722
7;Diskominfo - Public Hotspot 5 - Taman Batu X;50;1;https://goo.gl/maps/BysJ8EshFTttPnhW8;0.9216944;104.5084444
8;Diskominfo - Public Hotspot 6 - Taman Revolusi Mental;50;1;https://goo.gl/maps/dHjxSyoNCJZYgiBJ8;0.9210278;104.5074444
9;Diskominfo - Public Hotspot 7 - Taman Laman Boenda;50;1;https://goo.gl/maps/QVewuyXedXtBceu86;0.9279722;104.4385556
10;Diskominfo - Public Hotspot 8 - Taman Laman Boenda;50;1;https://goo.gl/maps/Wv1hoxGDJgGP8geJ7;0.9265556;104.4379167
11;Diskominfo - Public Hotspot 9 - Fasum Perumahan Griya Senggarang Permai;50;1;https://goo.gl/maps/P7zkFGfc8bQe8Vv27;0.9497042;104.5122584
12;Diskominfo - Public Hotspot 10 - Fasum Babinkamtibmas / perumahan Hang Tuah;50;1;https://goo.gl/maps/wtXVhap1vqZQLqkc6;0.9325963;104.5181906
13;Diskominfo - Public Hotspot 11 - Fasum Perumahan Griya Permata Kharisma;50;1;https://goo.gl/maps/g12qYjsSGghYREwA6;0.911172;104.490927
14;Diskominfo - Public Hotspot 12 - Fasum Perumahan Taman Harapan Indah;50;1;https://goo.gl/maps/NjpLztVCjRtBBa2CA;0.9201198;104.5034255
15;Diskominfo - Public Hotspot 13 - Halaman Kantor Lurah Kp Bugis;50;1;https://goo.gl/maps/ox7cCopec3JZLkSy9;0.9462388;104.445134
16;Diskominfo - Public Hotspot 14 - Balai Kelurahan Penyengat;50;1;https://goo.gl/maps/ARhCYXiUbiZRiddn7;0.9289701;104.4203773
17;Diskominfo - Public Hotspot 15 - Halaman kantor Lurah Sei. Jang;50;1;https://goo.gl/maps/LjvYgGpEk8XvJfHu5;0.9044354;104.4694197
18;Diskominfo - Public Hotspot 16 - Fasum Perumahan Griya Bukit Harapan;50;1;https://goo.gl/maps/9rEpZLksW6Aw5Mmw8;0.9;104.4675278
19;Diskominfo - Public Hotspot 17- Halaman kantor Lurah Tanjung Ayun Sakti;50;1;https://goo.gl/maps/VXfWLXWxBt25stnYA;0.9003889;104.4593611
20;Diskominfo - Public Hotspot 18 - Halaman kantor Lurah Tanjungpinang Timur;50;1;https://goo.gl/maps/CHHs7oYKFCzLmRad6;0.9204248;104.4607424
21;Diskominfo - Public Hotspot 19 - Pusat oleh-oleh dan gallery;50;1;https://goo.gl/maps/f65KKLuvysnQkRjU6;0.9232636;104.4612557
22;Diskominfo - Public Hotspot 20 - Gedung Pertemua Warga, Pos Yandu Sedap Malam;50;1;https://goo.gl/maps/zbBphREZYyTa59n87;0.9128889;104.44225
23;Diskominfo - Public Hotspot 21 - Balai Kesenian Penyengat;50;1;https://goo.gl/maps/yoibNqbmP8mb23Kb9;0.9278056;104.4226111
24;Diskominfo - Public Hotspot 22 - Halaman Pos kesehatan Kel Bukit Cermin;50;1;https://goo.gl/maps/V3ePEBj1nr1LJebU6;0.9185883;104.4464098
25;Diskominfo - Public Hotspot 23 - Puskesmas pembantu Batu 5;50;1;https://goo.gl/maps/8iEQLE7Lfaf28DK3A;0.9183847;104.4688613
26;Diskominfo - Public Hotspot 24 - Fasum Perumahan Bukit Indah Lestari;50;1;https://goo.gl/maps/TqgZ9HwbXAmHGGEZ9;0.9088889;104.4989444
27;Diskominfo - Public Hotspot 25 - Gedung KONI;50;1;https://goo.gl/maps/b38DK4JJCMUSkLVW8;0.9087222;104.4639722
28;Diskominfo - Public Hotspot 26 - Gedung Gonggong;50;1;https://goo.gl/maps/FseDnBTrfMuWwnFK6;0.9275;104.4380833
29;CCTV 1 - Tugu Tangan;50;1;https://goo.gl/maps/8eDKGEzx7h5bndQn9;0.9376944;104.5103333
30;CCTV 2 - Perum AURI Rajawali;50;1;https://goo.gl/maps/DRCgaLAFoaqH2HnLA;0.9138611;104.5279722
31;CCTV 3 - Simpang Dompak;50;1;https://goo.gl/maps/qfQj6eg5Q8AiuEB17;0.8815278;104.4932222
32;CCTV 4 - Simpang Senggarang km 15;50;1;https://goo.gl/maps/hNcYPHF6A5EhfXE79;0.950307;104.5160322
